Date,Ticker,Cluster_Label,Assigned_View_Position
2017-08-31,VCB,1,Long
2017-08-31,BID,2,Neutral
2017-08-31,CTG,2,Neutral
2017-08-31,MBB,1,Long
2017-08-31,ACB,1,Long
2017-08-31,STB,0,Short
2017-08-31,SHB,0,Short
2017-09-30,VCB,0,Long
2017-09-30,BID,2,Neutral
2017-09-30,CTG,2,Neutral
2017-09-30,MBB,0,Long
2017-09-30,ACB,0,Long
2017-09-30,STB,1,Short
2017-09-30,SHB,1,Short
2017-10-31,VCB,1,Long
2017-10-31,BID,2,Neutral
2017-10-31,CTG,2,Neutral
2017-10-31,MBB,1,Long
2017-10-31,ACB,1,Long
2017-10-31,STB,0,Short
2017-10-31,SHB,0,Short
2017-11-30,VCB,1,Long
2017-11-30,BID,2,Neutral
2017-11-30,CTG,2,Neutral
2017-11-30,MBB,1,Long
2017-11-30,ACB,1,Long
2017-11-30,STB,0,Short
2017-11-30,SHB,0,Short
2017-12-31,VCB,1,Long
2017-12-31,BID,2,Neutral
2017-12-31,CTG,2,Neutral
2017-12-31,MBB,1,Long
2017-12-31,ACB,1,Long
2017-12-31,STB,0,Short
2017-12-31,SHB,0,Short
2018-01-31,VCB,1,Long
2018-01-31,BID,2,Neutral
2018-01-31,CTG,2,Neutral
2018-01-31,MBB,1,Long
2018-01-31,ACB,1,Long
2018-01-31,STB,0,Short
2018-01-31,SHB,0,Short
2018-02-28,VCB,1,Long
2018-02-28,BID,2,Neutral
2018-02-28,CTG,2,Neutral
2018-02-28,MBB,1,Long
2018-02-28,ACB,1,Long
2018-02-28,STB,0,Short
2018-02-28,SHB,0,Short
2018-03-31,VCB,1,Long
2018-03-31,BID,0,Neutral
2018-03-31,CTG,0,Neutral
2018-03-31,MBB,1,Long
2018-03-31,ACB,1,Long
2018-03-31,STB,2,Short
2018-03-31,SHB,0,Neutral
2018-04-30,VCB,1,Long
2018-04-30,BID,0,Neutral
2018-04-30,CTG,0,Neutral
2018-04-30,MBB,1,Long
2018-04-30,ACB,1,Long
2018-04-30,STB,2,Short
2018-04-30,SHB,0,Neutral
2018-05-31,VCB,2,Long
2018-05-31,BID,0,Neutral
2018-05-31,CTG,0,Neutral
2018-05-31,MBB,2,Long
2018-05-31,ACB,2,Long
2018-05-31,STB,1,Short
2018-05-31,SHB,0,Neutral
2018-06-30,VCB,1,Long
2018-06-30,BID,0,Neutral
2018-06-30,CTG,0,Neutral
2018-06-30,MBB,1,Long
2018-06-30,ACB,1,Long
2018-06-30,STB,2,Short
2018-06-30,SHB,0,Neutral
2018-07-31,VCB,1,Long
2018-07-31,BID,0,Neutral
2018-07-31,CTG,0,Neutral
2018-07-31,MBB,1,Long
2018-07-31,ACB,1,Long
2018-07-31,STB,2,Short
2018-07-31,SHB,0,Neutral
2018-08-31,VCB,1,Long
2018-08-31,BID,0,Neutral
2018-08-31,CTG,0,Neutral
2018-08-31,MBB,1,Long
2018-08-31,ACB,1,Long
2018-08-31,STB,2,Short
2018-08-31,SHB,0,Neutral
2018-09-30,VCB,1,Long
2018-09-30,BID,0,Neutral
2018-09-30,CTG,0,Neutral
2018-09-30,MBB,1,Long
2018-09-30,ACB,1,Long
2018-09-30,STB,2,Short
2018-09-30,SHB,0,Neutral
2018-10-31,VCB,1,Long
2018-10-31,BID,0,Neutral
2018-10-31,CTG,0,Neutral
2018-10-31,MBB,1,Long
2018-10-31,ACB,1,Long
2018-10-31,STB,2,Short
2018-10-31,SHB,0,Neutral
2018-11-30,VCB,1,Long
2018-11-30,BID,0,Neutral
2018-11-30,CTG,0,Neutral
2018-11-30,MBB,1,Long
2018-11-30,ACB,1,Long
2018-11-30,STB,2,Short
2018-11-30,SHB,0,Neutral
2018-12-31,VCB,1,Long
2018-12-31,BID,2,Neutral
2018-12-31,CTG,0,Short
2018-12-31,MBB,1,Long
2018-12-31,ACB,1,Long
2018-12-31,STB,0,Short
2018-12-31,SHB,2,Neutral
2019-01-31,VCB,1,Long
2019-01-31,BID,2,Neutral
2019-01-31,CTG,0,Short
2019-01-31,MBB,1,Long
2019-01-31,ACB,1,Long
2019-01-31,STB,0,Short
2019-01-31,SHB,2,Neutral
2019-02-28,VCB,1,Long
2019-02-28,BID,0,Neutral
2019-02-28,CTG,2,Short
2019-02-28,MBB,1,Long
2019-02-28,ACB,1,Long
2019-02-28,STB,2,Short
2019-02-28,SHB,0,Neutral
2019-03-31,VCB,1,Long
2019-03-31,BID,2,Neutral
2019-03-31,CTG,0,Short
2019-03-31,MBB,1,Long
2019-03-31,ACB,1,Long
2019-03-31,STB,0,Short
2019-03-31,SHB,0,Short
2019-04-30,VCB,1,Long
2019-04-30,BID,2,Neutral
2019-04-30,CTG,0,Short
2019-04-30,MBB,1,Long
2019-04-30,ACB,1,Long
2019-04-30,STB,0,Short
2019-04-30,SHB,0,Short
2019-05-31,VCB,1,Long
2019-05-31,BID,2,Neutral
2019-05-31,CTG,0,Short
2019-05-31,MBB,1,Long
2019-05-31,ACB,1,Long
2019-05-31,STB,0,Short
2019-05-31,SHB,0,Short
2019-06-30,VCB,1,Long
2019-06-30,BID,2,Neutral
2019-06-30,CTG,0,Short
2019-06-30,MBB,1,Long
2019-06-30,ACB,1,Long
2019-06-30,STB,0,Short
2019-06-30,SHB,0,Short
2019-07-31,VCB,1,Long
2019-07-31,BID,2,Neutral
2019-07-31,CTG,0,Short
2019-07-31,MBB,1,Long
2019-07-31,ACB,1,Long
2019-07-31,STB,0,Short
2019-07-31,SHB,0,Short
2019-08-31,VCB,1,Long
2019-08-31,BID,2,Neutral
2019-08-31,CTG,0,Short
2019-08-31,MBB,1,Long
2019-08-31,ACB,1,Long
2019-08-31,STB,0,Short
2019-08-31,SHB,0,Short
2019-09-30,VCB,1,Long
2019-09-30,BID,2,Neutral
2019-09-30,CTG,0,Short
2019-09-30,MBB,1,Long
2019-09-30,ACB,1,Long
2019-09-30,STB,0,Short
2019-09-30,SHB,0,Short
2019-10-31,VCB,1,Long
2019-10-31,BID,2,Neutral
2019-10-31,CTG,0,Short
2019-10-31,MBB,1,Long
2019-10-31,ACB,1,Long
2019-10-31,STB,0,Short
2019-10-31,SHB,0,Short
2019-11-30,VCB,1,Long
2019-11-30,BID,0,Neutral
2019-11-30,CTG,2,Short
2019-11-30,MBB,1,Long
2019-11-30,ACB,1,Long
2019-11-30,STB,2,Short
2019-11-30,SHB,0,Neutral
2019-12-31,VCB,1,Long
2019-12-31,BID,2,Neutral
2019-12-31,CTG,0,Short
2019-12-31,MBB,1,Long
2019-12-31,ACB,1,Long
2019-12-31,STB,0,Short
2019-12-31,SHB,0,Short
2020-01-31,VCB,1,Long
2020-01-31,BID,2,Neutral
2020-01-31,CTG,0,Short
2020-01-31,MBB,1,Long
2020-01-31,ACB,1,Long
2020-01-31,STB,0,Short
2020-01-31,SHB,0,Short
2020-02-29,VCB,1,Neutral
2020-02-29,BID,2,Long
2020-02-29,CTG,0,Short
2020-02-29,MBB,1,Neutral
2020-02-29,ACB,1,Neutral
2020-02-29,STB,0,Short
2020-02-29,SHB,0,Short
2020-03-31,VCB,1,Long
2020-03-31,BID,2,Neutral
2020-03-31,CTG,0,Short
2020-03-31,MBB,1,Long
2020-03-31,ACB,1,Long
2020-03-31,VIB,1,Long
2020-03-31,STB,0,Short
2020-03-31,SHB,2,Neutral
2020-04-30,VCB,2,Long
2020-04-30,BID,1,Neutral
2020-04-30,CTG,0,Short
2020-04-30,MBB,2,Long
2020-04-30,ACB,2,Long
2020-04-30,VIB,2,Long
2020-04-30,STB,0,Short
2020-04-30,SHB,1,Neutral
2020-05-31,VCB,1,Neutral
2020-05-31,BID,2,Long
2020-05-31,CTG,0,Short
2020-05-31,MBB,1,Neutral
2020-05-31,ACB,1,Neutral
2020-05-31,VIB,1,Neutral
2020-05-31,STB,0,Short
2020-05-31,SHB,2,Long
2020-06-30,VCB,2,Neutral
2020-06-30,BID,1,Long
2020-06-30,CTG,0,Short
2020-06-30,MBB,0,Short
2020-06-30,ACB,2,Neutral
2020-06-30,VIB,0,Short
2020-06-30,STB,0,Short
2020-06-30,SHB,1,Long
2020-07-31,VCB,2,Long
2020-07-31,BID,1,Neutral
2020-07-31,CTG,0,Short
2020-07-31,MBB,0,Short
2020-07-31,ACB,2,Long
2020-07-31,VIB,0,Short
2020-07-31,STB,0,Short
2020-07-31,SHB,1,Neutral
2020-08-31,VCB,0,Long
2020-08-31,BID,2,Neutral
2020-08-31,CTG,1,Short
2020-08-31,MBB,1,Short
2020-08-31,ACB,0,Long
2020-08-31,VIB,1,Short
2020-08-31,STB,1,Short
2020-08-31,SHB,2,Neutral
2020-08-31,KLB,1,Short
2020-09-30,VCB,1,Neutral
2020-09-30,BID,0,Long
2020-09-30,CTG,2,Short
2020-09-30,MBB,2,Short
2020-09-30,ACB,1,Neutral
2020-09-30,VIB,1,Neutral
2020-09-30,STB,2,Short
2020-09-30,SHB,0,Long
2020-09-30,KLB,1,Neutral
2020-10-31,VCB,1,Long
2020-10-31,BID,2,Neutral
2020-10-31,CTG,0,Short
2020-10-31,MBB,0,Short
2020-10-31,ACB,1,Long
2020-10-31,VPB,0,Short
2020-10-31,VIB,1,Long
2020-10-31,STB,0,Short
2020-10-31,SHB,2,Neutral
2020-10-31,KLB,0,Short
2020-11-30,VCB,2,Neutral
2020-11-30,BID,0,Long
2020-11-30,CTG,1,Short
2020-11-30,MBB,1,Short
2020-11-30,ACB,2,Neutral
2020-11-30,VPB,1,Short
2020-11-30,VIB,0,Long
2020-11-30,STB,1,Short
2020-11-30,SHB,0,Long
2020-11-30,KLB,2,Neutral
2020-12-31,VCB,0,Neutral
2020-12-31,BID,2,Long
2020-12-31,CTG,1,Short
2020-12-31,MBB,1,Short
2020-12-31,ACB,0,Neutral
2020-12-31,VPB,1,Short
2020-12-31,VIB,2,Long
2020-12-31,STB,1,Short
2020-12-31,SHB,2,Long
2020-12-31,LPB,1,Short
2020-12-31,KLB,0,Neutral
2021-01-31,VCB,0,Neutral
2021-01-31,BID,2,Long
2021-01-31,CTG,1,Short
2021-01-31,MBB,1,Short
2021-01-31,ACB,0,Neutral
2021-01-31,VPB,1,Short
2021-01-31,VIB,2,Long
2021-01-31,STB,1,Short
2021-01-31,SHB,2,Long
2021-01-31,LPB,1,Short
2021-01-31,KLB,0,Neutral
2021-02-28,VCB,1,Neutral
2021-02-28,BID,0,Long
2021-02-28,CTG,1,Neutral
2021-02-28,MBB,1,Neutral
2021-02-28,ACB,1,Neutral
2021-02-28,VPB,1,Neutral
2021-02-28,VIB,0,Long
2021-02-28,STB,1,Neutral
2021-02-28,SHB,0,Long
2021-02-28,LPB,1,Neutral
2021-02-28,BAB,2,Short
2021-02-28,KLB,0,Long
2021-03-31,VCB,2,Long
2021-03-31,BID,1,Short
2021-03-31,CTG,1,Short
2021-03-31,MBB,1,Short
2021-03-31,ACB,2,Long
2021-03-31,VPB,1,Short
2021-03-31,HDB,1,Short
2021-03-31,VIB,2,Long
2021-03-31,STB,1,Short
2021-03-31,SHB,1,Short
2021-03-31,LPB,1,Short
2021-03-31,BAB,0,Neutral
2021-03-31,KLB,2,Long
2021-04-30,VCB,0,Short
2021-04-30,BID,0,Short
2021-04-30,CTG,0,Short
2021-04-30,MBB,0,Short
2021-04-30,ACB,0,Short
2021-04-30,VPB,0,Short
2021-04-30,HDB,0,Short
2021-04-30,VIB,1,Long
2021-04-30,STB,0,Short
2021-04-30,SHB,0,Short
2021-04-30,LPB,0,Short
2021-04-30,BAB,2,Neutral
2021-04-30,KLB,1,Long
2021-05-31,VCB,0,Neutral
2021-05-31,BID,2,Short
2021-05-31,CTG,2,Short
2021-05-31,MBB,0,Neutral
2021-05-31,ACB,0,Neutral
2021-05-31,VPB,2,Short
2021-05-31,HDB,2,Short
2021-05-31,VIB,1,Long
2021-05-31,STB,2,Short
2021-05-31,SHB,1,Long
2021-05-31,LPB,0,Neutral
2021-05-31,BAB,0,Neutral
2021-05-31,KLB,1,Long
2021-06-30,VCB,2,Neutral
2021-06-30,BID,0,Short
2021-06-30,CTG,0,Short
2021-06-30,MBB,0,Short
2021-06-30,ACB,2,Neutral
2021-06-30,VPB,0,Short
2021-06-30,HDB,0,Short
2021-06-30,VIB,1,Long
2021-06-30,TPB,2,Neutral
2021-06-30,STB,0,Short
2021-06-30,SHB,1,Long
2021-06-30,LPB,0,Short
2021-06-30,BAB,2,Neutral
2021-06-30,KLB,0,Short
2021-07-31,VCB,1,Neutral
2021-07-31,BID,2,Short
2021-07-31,CTG,2,Short
2021-07-31,MBB,2,Short
2021-07-31,ACB,1,Neutral
2021-07-31,VPB,0,Long
2021-07-31,HDB,2,Short
2021-07-31,VIB,0,Long
2021-07-31,TPB,1,Neutral
2021-07-31,STB,0,Long
2021-07-31,SHB,0,Long
2021-07-31,LPB,0,Long
2021-07-31,BAB,1,Neutral
2021-07-31,KLB,0,Long
2021-08-31,VCB,1,Neutral
2021-08-31,BID,2,Short
2021-08-31,CTG,2,Short
2021-08-31,MBB,2,Short
2021-08-31,TCB,2,Short
2021-08-31,ACB,1,Neutral
2021-08-31,VPB,2,Short
2021-08-31,HDB,2,Short
2021-08-31,VIB,0,Long
2021-08-31,TPB,1,Neutral
2021-08-31,STB,2,Short
2021-08-31,SHB,0,Long
2021-08-31,LPB,0,Long
2021-08-31,BAB,1,Neutral
2021-08-31,KLB,2,Short
2021-09-30,VCB,2,Neutral
2021-09-30,BID,0,Short
2021-09-30,CTG,0,Short
2021-09-30,MBB,0,Short
2021-09-30,TCB,0,Short
2021-09-30,ACB,2,Neutral
2021-09-30,VPB,0,Short
2021-09-30,HDB,0,Short
2021-09-30,VIB,1,Long
2021-09-30,TPB,2,Neutral
2021-09-30,STB,0,Short
2021-09-30,SHB,1,Long
2021-09-30,LPB,1,Long
2021-09-30,BAB,2,Neutral
2021-09-30,KLB,0,Short
2021-10-31,VCB,0,Neutral
2021-10-31,BID,2,Short
2021-10-31,CTG,2,Short
2021-10-31,MBB,2,Short
2021-10-31,TCB,2,Short
2021-10-31,ACB,0,Neutral
2021-10-31,VPB,1,Long
2021-10-31,HDB,2,Short
2021-10-31,VIB,1,Long
2021-10-31,TPB,0,Neutral
2021-10-31,STB,1,Long
2021-10-31,SHB,1,Long
2021-10-31,LPB,1,Long
2021-10-31,BAB,0,Neutral
2021-10-31,KLB,1,Long
2021-11-30,VCB,1,Neutral
2021-11-30,BID,0,Short
2021-11-30,CTG,0,Short
2021-11-30,MBB,1,Neutral
2021-11-30,TCB,0,Short
2021-11-30,ACB,1,Neutral
2021-11-30,VPB,2,Long
2021-11-30,HDB,0,Short
2021-11-30,VIB,2,Long
2021-11-30,TPB,1,Neutral
2021-11-30,STB,0,Short
2021-11-30,SHB,2,Long
2021-11-30,LPB,2,Long
2021-11-30,BAB,1,Neutral
2021-11-30,KLB,0,Short
2021-12-31,VCB,2,Neutral
2021-12-31,BID,0,Short
2021-12-31,CTG,0,Short
2021-12-31,MBB,0,Short
2021-12-31,TCB,0,Short
2021-12-31,ACB,2,Neutral
2021-12-31,VPB,1,Long
2021-12-31,HDB,0,Short
2021-12-31,VIB,1,Long
2021-12-31,TPB,2,Neutral
2021-12-31,STB,0,Short
2021-12-31,SHB,1,Long
2021-12-31,LPB,1,Long
2021-12-31,BAB,2,Neutral
2021-12-31,KLB,0,Short
2022-01-31,VCB,0,Neutral
2022-01-31,BID,2,Short
2022-01-31,CTG,2,Short
2022-01-31,MBB,2,Short
2022-01-31,TCB,2,Short
2022-01-31,ACB,0,Neutral
2022-01-31,VPB,1,Long
2022-01-31,HDB,2,Short
2022-01-31,VIB,1,Long
2022-01-31,TPB,0,Neutral
2022-01-31,STB,2,Short
2022-01-31,SHB,1,Long
2022-01-31,LPB,1,Long
2022-01-31,BAB,0,Neutral
2022-01-31,KLB,2,Short
2022-02-28,VCB,0,Short
2022-02-28,BID,0,Short
2022-02-28,CTG,1,Neutral
2022-02-28,MBB,1,Neutral
2022-02-28,TCB,1,Neutral
2022-02-28,ACB,0,Short
2022-02-28,VPB,2,Long
2022-02-28,HDB,1,Neutral
2022-02-28,VIB,2,Long
2022-02-28,TPB,1,Neutral
2022-02-28,STB,1,Neutral
2022-02-28,SHB,2,Long
2022-02-28,LPB,1,Neutral
2022-02-28,BAB,0,Short
2022-02-28,KLB,1,Neutral
2022-03-31,VCB,2,Neutral
2022-03-31,BID,1,Short
2022-03-31,CTG,1,Short
2022-03-31,MBB,1,Short
2022-03-31,TCB,1,Short
2022-03-31,ACB,2,Neutral
2022-03-31,VPB,0,Long
2022-03-31,HDB,1,Short
2022-03-31,VIB,0,Long
2022-03-31,TPB,2,Neutral
2022-03-31,STB,1,Short
2022-03-31,SHB,0,Long
2022-03-31,LPB,0,Long
2022-03-31,BAB,2,Neutral
2022-03-31,KLB,1,Short
2022-04-30,VCB,0,Neutral
2022-04-30,BID,2,Short
2022-04-30,CTG,2,Short
2022-04-30,MBB,0,Neutral
2022-04-30,TCB,2,Short
2022-04-30,ACB,0,Neutral
2022-04-30,VPB,1,Long
2022-04-30,HDB,2,Short
2022-04-30,VIB,1,Long
2022-04-30,TPB,0,Neutral
2022-04-30,STB,1,Long
2022-04-30,SHB,1,Long
2022-04-30,LPB,1,Long
2022-04-30,BAB,0,Neutral
2022-04-30,KLB,1,Long
2022-05-31,VCB,0,Short
2022-05-31,BID,2,Neutral
2022-05-31,CTG,2,Neutral
2022-05-31,MBB,2,Neutral
2022-05-31,TCB,2,Neutral
2022-05-31,ACB,2,Neutral
2022-05-31,VPB,1,Long
2022-05-31,HDB,2,Neutral
2022-05-31,VIB,1,Long
2022-05-31,TPB,2,Neutral
2022-05-31,STB,1,Long
2022-05-31,SHB,1,Long
2022-05-31,LPB,2,Neutral
2022-05-31,BAB,0,Short
2022-05-31,KLB,1,Long
2022-06-30,VCB,1,Short
2022-06-30,BID,2,Neutral
2022-06-30,CTG,2,Neutral
2022-06-30,MBB,2,Neutral
2022-06-30,TCB,2,Neutral
2022-06-30,ACB,1,Short
2022-06-30,VPB,0,Long
2022-06-30,HDB,2,Neutral
2022-06-30,VIB,0,Long
2022-06-30,TPB,2,Neutral
2022-06-30,STB,2,Neutral
2022-06-30,SHB,0,Long
2022-06-30,LPB,2,Neutral
2022-06-30,BAB,1,Short
2022-06-30,KLB,0,Long
2022-07-31,VCB,1,Short
2022-07-31,BID,0,Neutral
2022-07-31,CTG,0,Neutral
2022-07-31,MBB,0,Neutral
2022-07-31,TCB,0,Neutral
2022-07-31,ACB,0,Neutral
2022-07-31,VPB,2,Long
2022-07-31,HDB,0,Neutral
2022-07-31,VIB,2,Long
2022-07-31,TPB,0,Neutral
2022-07-31,STB,0,Neutral
2022-07-31,SHB,2,Long
2022-07-31,LPB,0,Neutral
2022-07-31,BAB,1,Short
2022-07-31,KLB,2,Long
2022-08-31,VCB,2,Short
2022-08-31,BID,1,Neutral
2022-08-31,CTG,1,Neutral
2022-08-31,MBB,1,Neutral
2022-08-31,TCB,1,Neutral
2022-08-31,ACB,1,Neutral
2022-08-31,VPB,0,Long
2022-08-31,HDB,1,Neutral
2022-08-31,VIB,0,Long
2022-08-31,TPB,1,Neutral
2022-08-31,STB,1,Neutral
2022-08-31,SHB,0,Long
2022-08-31,LPB,1,Neutral
2022-08-31,BAB,2,Short
2022-08-31,KLB,0,Long
2022-09-30,VCB,0,Short
2022-09-30,BID,2,Neutral
2022-09-30,CTG,2,Neutral
2022-09-30,MBB,2,Neutral
2022-09-30,TCB,2,Neutral
2022-09-30,ACB,2,Neutral
2022-09-30,VPB,1,Long
2022-09-30,HDB,2,Neutral
2022-09-30,VIB,1,Long
2022-09-30,TPB,2,Neutral
2022-09-30,STB,1,Long
2022-09-30,SHB,1,Long
2022-09-30,LPB,2,Neutral
2022-09-30,BAB,0,Short
2022-09-30,KLB,1,Long
2022-09-30,VBB,0,Short
2022-10-31,VCB,0,Short
2022-10-31,BID,2,Neutral
2022-10-31,CTG,2,Neutral
2022-10-31,MBB,2,Neutral
2022-10-31,TCB,2,Neutral
2022-10-31,ACB,2,Neutral
2022-10-31,VPB,1,Long
2022-10-31,HDB,2,Neutral
2022-10-31,VIB,1,Long
2022-10-31,TPB,2,Neutral
2022-10-31,STB,1,Long
2022-10-31,SHB,1,Long
2022-10-31,LPB,1,Long
2022-10-31,BAB,0,Short
2022-10-31,KLB,1,Long
2022-10-31,VBB,0,Short
2022-11-30,VCB,2,Short
2022-11-30,BID,0,Neutral
2022-11-30,CTG,0,Neutral
2022-11-30,MBB,0,Neutral
2022-11-30,TCB,0,Neutral
2022-11-30,ACB,0,Neutral
2022-11-30,VPB,1,Long
2022-11-30,HDB,0,Neutral
2022-11-30,VIB,1,Long
2022-11-30,TPB,0,Neutral
2022-11-30,STB,1,Long
2022-11-30,SHB,1,Long
2022-11-30,LPB,1,Long
2022-11-30,BAB,2,Short
2022-11-30,KLB,1,Long
2022-11-30,VBB,2,Short
2022-12-31,VCB,2,Short
2022-12-31,BID,0,Neutral
2022-12-31,CTG,0,Neutral
2022-12-31,MBB,0,Neutral
2022-12-31,TCB,0,Neutral
2022-12-31,ACB,0,Neutral
2022-12-31,VPB,1,Long
2022-12-31,HDB,0,Neutral
2022-12-31,VIB,1,Long
2022-12-31,TPB,0,Neutral
2022-12-31,STB,1,Long
2022-12-31,SHB,1,Long
2022-12-31,LPB,1,Long
2022-12-31,BAB,2,Short
2022-12-31,KLB,1,Long
2022-12-31,VBB,2,Short
2023-01-31,VCB,0,Short
2023-01-31,BID,1,Neutral
2023-01-31,CTG,1,Neutral
2023-01-31,MBB,1,Neutral
2023-01-31,TCB,1,Neutral
2023-01-31,ACB,1,Neutral
2023-01-31,VPB,2,Long
2023-01-31,HDB,1,Neutral
2023-01-31,VIB,2,Long
2023-01-31,TPB,1,Neutral
2023-01-31,STB,2,Long
2023-01-31,SHB,2,Long
2023-01-31,LPB,2,Long
2023-01-31,BAB,0,Short
2023-01-31,KLB,2,Long
2023-01-31,VBB,0,Short
2023-02-28,VCB,1,Short
2023-02-28,BID,0,Neutral
2023-02-28,CTG,0,Neutral
2023-02-28,MBB,0,Neutral
2023-02-28,TCB,0,Neutral
2023-02-28,ACB,0,Neutral
2023-02-28,VPB,2,Long
2023-02-28,HDB,0,Neutral
2023-02-28,VIB,2,Long
2023-02-28,TPB,0,Neutral
2023-02-28,STB,2,Long
2023-02-28,SHB,2,Long
2023-02-28,LPB,2,Long
2023-02-28,BAB,1,Short
2023-02-28,KLB,0,Neutral
2023-02-28,VBB,1,Short
2023-03-31,VCB,0,Neutral
2023-03-31,BID,2,Short
2023-03-31,CTG,2,Short
2023-03-31,MBB,2,Short
2023-03-31,TCB,2,Short
2023-03-31,ACB,0,Neutral
2023-03-31,VPB,1,Long
2023-03-31,HDB,2,Short
2023-03-31,VIB,1,Long
2023-03-31,TPB,2,Short
2023-03-31,STB,1,Long
2023-03-31,SHB,1,Long
2023-03-31,LPB,1,Long
2023-03-31,BAB,0,Neutral
2023-03-31,KLB,2,Short
2023-03-31,VBB,2,Short
2023-04-30,VCB,2,Neutral
2023-04-30,BID,0,Short
2023-04-30,CTG,0,Short
2023-04-30,MBB,0,Short
2023-04-30,TCB,0,Short
2023-04-30,ACB,2,Neutral
2023-04-30,VPB,0,Short
2023-04-30,HDB,0,Short
2023-04-30,VIB,1,Long
2023-04-30,TPB,0,Short
2023-04-30,STB,1,Long
2023-04-30,SHB,0,Short
2023-04-30,LPB,1,Long
2023-04-30,BAB,2,Neutral
2023-04-30,KLB,0,Short
2023-04-30,VBB,0,Short
2023-05-31,VCB,0,Neutral
2023-05-31,BID,0,Neutral
2023-05-31,CTG,0,Neutral
2023-05-31,MBB,0,Neutral
2023-05-31,TCB,0,Neutral
2023-05-31,ACB,0,Neutral
2023-05-31,VPB,1,Long
2023-05-31,HDB,0,Neutral
2023-05-31,VIB,1,Long
2023-05-31,TPB,0,Neutral
2023-05-31,STB,1,Long
2023-05-31,SHB,2,Short
2023-05-31,LPB,1,Long
2023-05-31,BAB,0,Neutral
2023-05-31,KLB,2,Short
2023-05-31,VBB,2,Short
2023-06-30,VCB,0,Neutral
2023-06-30,BID,0,Neutral
2023-06-30,CTG,0,Neutral
2023-06-30,MBB,0,Neutral
2023-06-30,TCB,2,Long
2023-06-30,ACB,0,Neutral
2023-06-30,VPB,2,Long
2023-06-30,HDB,0,Neutral
2023-06-30,VIB,2,Long
2023-06-30,TPB,2,Long
2023-06-30,STB,2,Long
2023-06-30,SHB,1,Short
2023-06-30,LPB,2,Long
2023-06-30,BAB,0,Neutral
2023-06-30,KLB,1,Short
2023-06-30,VBB,1,Short
2023-07-31,VCB,0,Neutral
2023-07-31,BID,0,Neutral
2023-07-31,CTG,0,Neutral
2023-07-31,MBB,0,Neutral
2023-07-31,TCB,0,Neutral
2023-07-31,ACB,0,Neutral
2023-07-31,VPB,2,Long
2023-07-31,HDB,0,Neutral
2023-07-31,VIB,2,Long
2023-07-31,TPB,2,Long
2023-07-31,STB,2,Long
2023-07-31,SHB,1,Short
2023-07-31,LPB,2,Long
2023-07-31,BAB,0,Neutral
2023-07-31,KLB,1,Short
2023-07-31,VBB,1,Short
2023-08-31,VCB,0,Neutral
2023-08-31,BID,0,Neutral
2023-08-31,CTG,0,Neutral
2023-08-31,MBB,0,Neutral
2023-08-31,TCB,0,Neutral
2023-08-31,ACB,0,Neutral
2023-08-31,VPB,1,Long
2023-08-31,HDB,0,Neutral
2023-08-31,VIB,1,Long
2023-08-31,TPB,1,Long
