Date,MKT_return,TAN_return,MV_return,BL_return
2017-08-31,-0.02659180874765718,0.021626315426842357,0.0005320778644707107,0.006607515852911479
2017-09-30,0.008599805907113504,0.018467381822822117,0.012287213822822461,0.013691717829023002
2017-10-31,0.05992118818052248,0.0478359245389412,0.02922646937816079,0.06571198656010703
2017-11-30,0.18440862734914198,0.1530841435735208,0.16397571033189623,0.1753101402193802
2017-12-31,0.04808973902610535,0.05056243665345271,0.03435771599275216,0.05144421754081413
2018-01-31,0.24375227380062725,0.232112215806015,0.29404330104221843,0.22141216959963622
2018-02-28,0.12033682482596302,0.09982460783751272,0.07758607339154877,0.13639022598493933
2018-03-31,0.016709568539018,0.018061149220294174,0.015930666556697958,0.04460893991510484
2018-04-30,-0.14673280822539145,-0.1263537293180671,-0.12380179076100477,-0.14802330569027375
2018-05-31,-0.11488584649689958,-0.07326724423184541,-0.07619061733856068,-0.11318913341849852
2018-06-30,-0.032585556385539415,-0.05305012623272411,-0.06418795762656693,-0.05448273713374924
2018-07-31,0.007451844451216417,0.02260517776642463,0.022946650463497413,-0.0015728231930868912
2018-08-31,0.12303740083138527,0.06116890938221479,0.05541731738248857,0.17175981418683245
2018-09-30,0.018549210293794187,0.002697070252324816,0.00424649568057816,0.012966682243979363
2018-10-31,-0.1217961764957484,-0.09598235731297221,-0.09537434780087431,-0.13682870219358007
2018-11-30,0.007542286128877456,-0.013141704067557894,-0.013194748834449021,0.01156793888819815
2018-12-31,-0.01857802316370472,-0.04581660165777164,-0.04484854358715822,-0.01167791202474719
2019-01-31,0.0129803688350464,0.047708072918672816,0.05657247152026835,0.027523123047970437
2019-02-28,0.041453563220336866,0.019705063025864694,0.016662182079431903,0.02426645997038256
2019-03-31,0.08747377915469438,0.06302806948839028,0.052068499915242546,0.07841071130820698
2019-04-30,-0.009914596730649209,-0.002335231815156249,-0.0015696731460957635,-0.013222742915149428
2019-05-31,-0.04029420237493994,-0.03664206130485701,-0.028837028486439167,-0.047589583475125756
2019-06-30,0.01881566289653821,0.015485676297903088,0.01144151405612465,0.010517213183263369
2019-07-31,0.10357279558156512,0.07935820067857245,0.06166601051280136,0.09114098985924246
2019-08-31,0.003178444513130131,0.00412569529756871,-0.007867511270059083,0.007727655912783225
2019-09-30,0.04438227475168229,0.054395034034253324,0.05418249539086319,0.042749560182497745
2019-10-31,0.04766879390013883,0.035522130796028326,0.03482203160061336,0.04210547482756763
2019-11-30,-0.019920479429416778,-0.028705394784721346,-0.03876602511241013,-0.014203768808398598
2019-12-31,0.06745026751104827,0.011788129372657264,-0.001565781886105868,0.056482718279342245
2020-01-31,0.040051797288958864,0.00932223403592495,-4.469221944526546e-06,0.04159930126114725
2020-02-29,-0.047791871398790264,-0.04924582083840897,0.029620292811007858,-0.031205675882156402
2020-03-31,-0.2761067231928702,-0.30086847794928967,-0.3014941131462146,-0.29198480558229956
2020-04-30,0.13755523747130916,0.1529247544458507,0.1559715726860848,0.13639982780813376
2020-05-31,0.16875612547517302,0.0895043420027066,0.08916313314512123,0.0635712613049355
2020-06-30,-0.04692597365756898,-0.05545224756157923,-0.03566420486805937,-0.05496548711876199
2020-07-31,-0.040333398614962115,-0.05331547169835794,-0.048023113390614096,-0.051889507769814075
2020-08-31,0.12180053347725557,0.11740445708385422,0.1256039357600887,0.14973191686675086
2020-09-30,0.03401232112358805,0.0498854373938268,0.0610317783915301,0.07178284581234216
2020-10-31,-0.000660808917726102,0.013539575498934262,0.03431828403345155,0.041503070014946734
2020-11-30,0.11447101391964089,0.08944270692135171,0.11125925458104864,0.0711703192367365
2020-12-31,0.10063785022656148,0.14219635091164431,0.1650517162787533,0.10878142137106504
2021-01-31,-0.07875456284428137,-0.07941894092305454,-0.08083826114069388,-0.10463621255638693
2021-02-28,0.1284244398014373,0.104717044513172,0.05661606558634808,0.19427455547893904
2021-03-31,0.04392901020355384,0.19222818512987574,0.22408023204441016,0.11353095900146325
2021-04-30,0.06968600746745988,0.09534592976807786,0.03903015180012928,0.0998916723805505
2021-05-31,0.1547161781022912,0.22209401551456945,0.1440403651647635,0.23600499686697082
2021-06-30,0.04494682626435354,0.014280725149793684,-0.018138056858645894,-0.03395439332364676
2021-07-31,-0.11311582728611612,-0.12265871235088399,-0.1110844982363698,-0.08113704632759333
2021-08-31,-0.03462487535302354,-0.03737389676832669,-0.003530047674027288,-0.07724543653776175
2021-09-30,0.0009958557007852802,0.007069901692354455,0.0255178968265447,-0.03772422974503438
2021-10-31,0.030574845933735283,0.030180004841295162,0.028788015097622025,0.06766392613262874
2021-11-30,0.03291072601757596,0.05958182817232622,0.030238646331074735,0.05205878104857651
2021-12-31,0.02076641173074993,0.08654747586997975,0.0303341760156065,-0.0062909472500215355
2022-01-31,0.10425736475645879,0.026876524658482406,0.043365542402771504,0.034074942676453925
2022-02-28,-0.04340761123363591,-0.018855844934873293,-0.02725506946469709,-0.01303573905471992
2022-03-31,-0.020614681149617255,-0.021795336622029954,-0.01696813619069913,-0.014247632173220897
2022-04-30,-0.08278721329088004,-0.14758829320573016,-0.09927078116052976,-0.1288376943455138
2022-05-31,-0.07244934464696108,-0.10350737820644158,-0.04418401699847822,-0.14723665511974582
2022-06-30,-0.06843229378327444,-0.13615525378939652,-0.07077902905218873,-0.09626538896915415
2022-07-31,0.04429244161270694,0.09062359467101924,0.018105438539859634,0.07886186833186304
2022-08-31,0.07403889118042356,0.013362790916314692,0.046948355600750474,0.04345838925407825
2022-09-30,-0.14346649411429296,-0.12763502447230238,-0.10973037572837446,-0.1471064093599064
2022-10-31,-0.053868357584327634,-0.0572190928274757,-0.03329319632855656,-0.13232119215674318
2022-11-30,0.08320045812186522,-0.0848102683599386,0.002063554964537029,0.08660177715822173
2022-12-31,-0.0067431518862456396,-0.07964334137893726,-0.028362726055810923,0.03197450134327825
2023-01-31,0.14811816915957526,0.15982421997408336,0.1436569392947772,0.1589345837638802
2023-02-28,-0.04765648180289685,-0.0801932502157899,0.005232931972078541,-0.1076642046812263
2023-03-31,0.04718384442799612,0.07002994644252725,-0.007017061615262476,0.10908322748947594
2023-04-30,-0.020110489629501432,-0.03685576723714339,-0.006487689645850841,-0.04404824899051841
2023-05-31,0.021645092851639895,0.030882473140041364,0.03714209952322825,0.03747478487169937
2023-06-30,0.0465730513893862,0.04938091572875869,0.045352003259569666,0.058083887043944196
2023-07-31,0.07293336004906631,0.05760362395115948,0.042183636807368516,0.05312114565195301
2023-08-31,-0.0026168913952347617,0.012342809621465283,-0.017438013954418012,0.058158165817353405
2023-09-30,-0.031677215154101615,-0.031145617136348572,-0.01904035587019627,-0.04416143990714117
2023-10-31,-0.05983495932152784,-0.005437825480217947,-0.033969328322470016,-0.04933928111700482
2023-11-30,0.024465259886433256,0.011717303010500876,0.007349914476966139,0.016080390720301006
2023-12-31,0.023526546558541847,0.004996264296058772,0.017215097627190905,0.005563175941868247
2024-01-31,0.09194301295230028,0.07540525316979572,0.07830090779809118,0.09578752829527859
2024-02-29,0.09584192117855862,0.04018635869446749,0.06342149081635873,0.032139545326692526
2024-03-31,0.0038485247984003513,0.0062383879904259094,-0.000977692541194871,0.0362811529037217
2024-04-30,-0.04866306275538484,-0.007373376914008863,-0.042119795277542504,0.01112266115754547
2024-05-31,-0.0036623283294464756,0.0013190965873811013,0.010817630357480314,0.08604996799566549
2024-06-30,-0.01877517375998261,-0.021768765353741153,-0.020244330867924543,0.006656843233765745
2024-07-31,0.048633827492912306,0.05073980799279918,0.01935468380496479,0.04466300329759581
2024-08-31,0.025286612036625265,0.05884162107822986,0.001160220523746605,0.04440209240500875
2024-09-30,0.026921368151890977,0.013590687072591843,-0.015352691174474457,0.025477717861963928
2024-10-31,-0.008231199083650394,-0.019880186396341606,-0.011221391259947793,-0.019106014650980312
2024-11-30,-0.02001315995678722,-0.024674984689066273,-0.013213480070592493,-0.010509160685036803
2024-12-31,0.01830862574191079,0.09642042525713307,0.011599058278912068,0.008609351008019956
2025-01-31,0.01884117087644864,0.04950588579692752,0.03788612239514749,0.029745201188108337
2025-02-28,0.028168456122861115,0.015351198298023342,0.03205192375435532,0.04567743499109216
2025-03-31,0.0007564934359552742,-0.03928806123440894,0.0060308723109868565,-0.02241188843284436
2025-04-30,-0.07686145849020186,-0.048945505448674806,-0.06310276507889052,-0.057738283625578916
2025-05-31,0.04213554106094427,0.026176979434635494,0.015780756993396122,0.03600972699336414
2025-06-30,0.0386058195656848,0.021378550356031895,0.012406200905144356,0.07600746649587911
2025-07-31,0.10102429087333226,0.08681128509019609,0.09323142115994056,0.08714667392869584
2025-08-31,0.1914552903839405,0.17319433662983197,0.09313960426717001,0.17912338469220312
2025-09-30,-0.0618451007338879,-0.024114568329784435,-0.08439675637545616,-0.02593536134223762
2025-10-31,-0.04222553216752566,-0.006767069390684816,-0.02755558994153509,-0.05309479137454856
2025-11-30,-0.01988382919118371,-0.01798396902114698,-0.03721118799877315,-0.04327596390625937
2025-12-31,0.025235546840244334,-0.005544041862505204,-0.0017974764123158884,0.09307026265414331
2026-01-31,0.09817652274249507,0.0004522464248987356,0.04736828484321816,0.03833331291113383
2026-02-28,-0.023014243636909886,0.007035142537674436,-0.013918813409862703,0.027603162165179912
2026-03-31,-0.09396705070899898,-0.06577754462196575,-0.04236861499799004,-0.08164698852156498
2026-04-30,0.029590939324554817,0.09161942524524844,0.02915296171679347,0.06351665353027197
2026-05-31,0.029712082687224983,0.07922041087179135,0.011041415536686661,-0.0019617470953079883
